,Name,Grad,College,Notable_for
56,Ariel Rios,,John Jay,"undercover special agent for the United States Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF), killed in the line of duty"
57,Imette St. Guillen,,John Jay,"criminal justice graduate student murdered in February 2006. A scholarship was created in her name"
58,Scott Stringer,,John Jay,"Comptroller, former Borough president of Manhattan, and former member of the New York State Assembly"
59,Dorothy Uhnak,,John Jay,"(BA), novelist and detective for the New York City Transit Police Department"
60,Bill Baird,1955,Brooklyn,"reproductive rights activist and co-director of the Pro Choice League"
61,Barbara Levy Boxer,1962,Brooklyn,"anti-war activist, environmentalist, U.S. Representative, 1982–1993, and U.S. Senator"
62,Shirley Chisholm,1946,Brooklyn,"first African- American U.S. Congresswoman, 1968–1982. Candidate for U.S. President, 1972"
63,Bruce Chizen,1978,Brooklyn,"President & CEO, Adobe Systems"
64,Stanley Cohen,1943,Brooklyn,"biochemist and Nobel laureate (Physiology or Medicine, 1986"
65,Alan M. Dershowitz,1959,Brooklyn,"Harvard Law School professor and author"
66,Jerry Della Femina,1957,Brooklyn,"Chairman & CEO, Della Femina, Jeary and Partners"
67,Dan DiDio,1983,Brooklyn,"American comic book editor and executive for DC Comics"
68,Benjamin Eisenstadt,1954,Brooklyn,"creator of Sweet'N Low and the founder of Cumberland Packing Corporation"
69,Sandra Feldman,1960,Brooklyn,"President, American Federation of Teachers"
70,Gata Kamsky,1999,Brooklyn,"chess grandmaster and former US chess champion"
71,Don Lemon,1996,Brooklyn,"reporter, CNN"
72,Leonard Lopate,1967,Brooklyn,"host of the public radio talk show The Leonard Lopate Show, broadcast on WNYC"
73,Frank McCourt,1967,Brooklyn,"Pulitzer Prize-winning author of Angela's Ashes and 'Tis"
74,Marty Markowitz,1970,Brooklyn,"former New York State Senator; former Brooklyn Borough President"
75,Paul Mazursky,1951,Brooklyn,"film director, writer, producer; actor"
76,Jerry Moss,1957,Brooklyn,"co-founder of A&M Records"
77,Gloria Naylor,1981,Brooklyn,"novelist; Winner National Book Award"
78,Harvey Pitt,1965,Brooklyn,"former Chairman of the Securities and Exchange Commission"
79,Steve Riggio,1974,Brooklyn,"CEO of Barnes & Noble, Inc."
80,Steve Schirripa,1980,Brooklyn,"American actor known for his role as Bobby Baccalieri on the HBO TV series The Sopranos"
81,Timothy Shortell,1992,Brooklyn,"anti-Christian activist"
82,Jimmy Smits,1980,Brooklyn,"Emmy Award-winning actor; NYPD Blue and L.A. Law"
83,Benjamin Ward,1960,Brooklyn,"first black New York City Police Commissioner, 1983–1989"
84,Iris Weinshall,1975,Brooklyn,"vice chancellor at the City University of New York and a former commissioner of the New York City Department of Transportation"
85,Jack B. Weinstein,1943,Brooklyn,"Senior Judge, United States District Court for the Eastern District of New York"
86,Joy Behar,1964,Queens,"comedian, television personality"
87,Jerry Colonna,,Queens,"well-known venture capitalist and entrepreneur coach"
88,Joseph Crowley,,Queens,"member of the U.S. House of Representatives"
89,Alan Hevesi,,Queens,"former New York State Comptroller, former New York State Assemblyman, former Queens College professor"
90,Cheryl Lehman,1975,Queens,"Professor of Accounting, Hofstra University"
91,Ruth Madoff,,Queens,"wife of Bernard L. Madoff"
92,Helen Marshall,,Queens,"Queens Borough President"
93,Donna Orender,,Queens,"WNBA president"
94,Jerry Seinfeld,1976,Queens,"actor and comedian"
95,Charles Wang,,Queens,"founder of Computer Associates, owner of the New York Islanders"
96,Carl Andrews,,Medgar Evers,"New York State Senator"
97,Yvette Clarke,,Medgar Evers,"Congresswoman, member of the United States House of Representatives from New York's 11th and 9th congressional districts"
